"pair","id","date_time","longitude","latitude"
1,"A","2009-01-01 12:00:02.800",-2.66294517,51.4069317
1,"A","2009-01-01 12:00:02.820",-2.66294465,51.4069321
1,"A","2009-01-01 12:00:02.840",-2.66294449,51.40693252
1,"A","2009-01-01 12:00:02.860",-2.66294431,51.40693293
1,"A","2009-01-01 12:00:02.880",-2.66294368,51.40693328
1,"A","2009-01-01 12:00:02.900",-2.66294304,51.40693363
1,"A","2009-01-01 12:00:02.920",-2.6629424,51.40693398
1,"A","2009-01-01 12:00:02.940",-2.66294242,51.4069343
1,"A","2009-01-01 12:00:02.960",-2.66294249,51.40693467
1,"A","2009-01-01 12:00:02.980",-2.66294256,51.40693504
1,"A","2009-01-01 12:00:03.000",-2.66294264,51.40693541
1,"A","2009-01-01 12:00:03.020",-2.6629427,51.40693578
1,"A","2009-01-01 12:00:03.040",-2.66294278,51.40693615
1,"A","2009-01-01 12:00:03.060",-2.66294284,51.40693651
1,"A","2009-01-01 12:00:03.080",-2.66294071,51.40693675
1,"A","2009-01-01 12:00:03.100",-2.6629395,51.40693703
1,"A","2009-01-01 12:00:03.120",-2.66293945,51.40693742
1,"A","2009-01-01 12:00:03.140",-2.66293998,51.4069379
1,"A","2009-01-01 12:00:03.160",-2.66294066,51.40693839
1,"B","2009-01-01 12:00:00.000",-2.66306192,51.40691169
1,"B","2009-01-01 12:00:00.020",-2.66306283,51.40691123
1,"B","2009-01-01 12:00:00.040",-2.66306304,51.40691072
1,"B","2009-01-01 12:00:00.060",-2.66306494,51.40691073
1,"B","2009-01-01 12:00:00.080",-2.6630652,51.40691043
1,"B","2009-01-01 12:00:00.100",-2.66306551,51.40691012
1,"B","2009-01-01 12:00:00.120",-2.6630664,51.40690994
1,"B","2009-01-01 12:00:00.140",-2.6630676,51.40690984
1,"B","2009-01-01 12:00:00.160",-2.66306868,51.40690975
1,"B","2009-01-01 12:00:00.180",-2.66306942,51.40690959
1,"B","2009-01-01 12:00:00.200",-2.66307025,51.40690944
1,"B","2009-01-01 12:00:00.220",-2.66307156,51.40690945
1,"B","2009-01-01 12:00:00.240",-2.66307266,51.40690945
1,"B","2009-01-01 12:00:00.260",-2.66307335,51.40690936
1,"B","2009-01-01 12:00:00.280",-2.66307406,51.40690926
1,"B","2009-01-01 12:00:00.300",-2.66307488,51.40690925
1,"B","2009-01-01 12:00:00.320",-2.66307572,51.40690924
1,"B","2009-01-01 12:00:00.340",-2.6630764,51.40690922
1,"B","2009-01-01 12:00:00.360",-2.66307696,51.40690918
1,"B","2009-01-01 12:00:00.380",-2.66307766,51.40690911
1,"B","2009-01-01 12:00:00.400",-2.66307853,51.40690907
1,"B","2009-01-01 12:00:00.420",-2.66307941,51.40690909
1,"B","2009-01-01 12:00:00.440",-2.66308013,51.40690911
1,"B","2009-01-01 12:00:00.460",-2.66308089,51.40690915
1,"B","2009-01-01 12:00:00.480",-2.66308165,51.40690919
1,"B","2009-01-01 12:00:00.500",-2.66308256,51.40690924
1,"B","2009-01-01 12:00:00.520",-2.66308342,51.40690927
1,"B","2009-01-01 12:00:00.540",-2.6630842,51.40690933
1,"B","2009-01-01 12:00:00.560",-2.66308468,51.40690938
1,"B","2009-01-01 12:00:00.580",-2.66308505,51.40690941
1,"B","2009-01-01 12:00:00.600",-2.66308572,51.40690949
1,"B","2009-01-01 12:00:00.620",-2.6630867,51.40690964
1,"B","2009-01-01 12:00:00.640",-2.66308774,51.40690982
1,"B","2009-01-01 12:00:00.660",-2.66308843,51.40690995
1,"B","2009-01-01 12:00:00.680",-2.66308865,51.40691003
1,"B","2009-01-01 12:00:00.700",-2.66308892,51.40691016
1,"B","2009-01-01 12:00:00.720",-2.66308921,51.40691029
1,"B","2009-01-01 12:00:00.740",-2.66308957,51.40691044
1,"B","2009-01-01 12:00:00.760",-2.66309015,51.40691063
1,"B","2009-01-01 12:00:00.780",-2.66309079,51.40691088
1,"B","2009-01-01 12:00:00.800",-2.66309139,51.40691118
1,"B","2009-01-01 12:00:00.820",-2.66309209,51.40691152
1,"B","2009-01-01 12:00:00.840",-2.66309274,51.40691186
1,"B","2009-01-01 12:00:00.860",-2.66309326,51.40691215
1,"B","2009-01-01 12:00:00.880",-2.6630937,51.4069124
1,"B","2009-01-01 12:00:00.900",-2.66309402,51.40691262
1,"B","2009-01-01 12:00:00.920",-2.66309433,51.40691283
1,"B","2009-01-01 12:00:00.940",-2.66309468,51.40691306
1,"B","2009-01-01 12:00:00.960",-2.66309489,51.40691329
1,"B","2009-01-01 12:00:00.980",-2.66309488,51.40691351
1,"B","2009-01-01 12:00:01.000",-2.66309476,51.40691373
1,"B","2009-01-01 12:00:01.020",-2.66309465,51.40691395
1,"B","2009-01-01 12:00:01.040",-2.66309432,51.40691413
1,"B","2009-01-01 12:00:01.060",-2.66309396,51.4069143
1,"B","2009-01-01 12:00:01.080",-2.66309391,51.40691449
1,"B","2009-01-01 12:00:01.100",-2.66309408,51.40691473
1,"B","2009-01-01 12:00:01.120",-2.66309417,51.40691493
1,"B","2009-01-01 12:00:01.140",-2.66309427,51.40691512
1,"B","2009-01-01 12:00:01.160",-2.6630943,51.4069153
1,"B","2009-01-01 12:00:01.180",-2.66309436,51.40691546
1,"B","2009-01-01 12:00:01.200",-2.66309439,51.40691559
1,"B","2009-01-01 12:00:01.220",-2.66309448,51.40691581
1,"B","2009-01-01 12:00:01.240",-2.66309453,51.40691612
1,"B","2009-01-01 12:00:01.260",-2.66309458,51.40691641
1,"B","2009-01-01 12:00:01.280",-2.66309447,51.40691658
1,"B","2009-01-01 12:00:01.300",-2.66309436,51.40691675
1,"B","2009-01-01 12:00:01.320",-2.6630943,51.40691696
1,"B","2009-01-01 12:00:01.340",-2.66309424,51.40691717
1,"B","2009-01-01 12:00:01.360",-2.6630942,51.40691741
1,"B","2009-01-01 12:00:01.380",-2.66309433,51.4069177
1,"B","2009-01-01 12:00:01.400",-2.66309434,51.40691798
1,"B","2009-01-01 12:00:01.420",-2.6630941,51.40691819
1,"B","2009-01-01 12:00:01.440",-2.6630939,51.40691836
1,"B","2009-01-01 12:00:01.460",-2.66309393,51.40691859
1,"B","2009-01-01 12:00:01.480",-2.66309419,51.40691891
1,"B","2009-01-01 12:00:01.500",-2.6630941,51.40691919
1,"B","2009-01-01 12:00:01.520",-2.66309377,51.40691941
1,"B","2009-01-01 12:00:01.540",-2.66309352,51.4069196
1,"B","2009-01-01 12:00:01.560",-2.66309337,51.4069198
1,"B","2009-01-01 12:00:01.580",-2.66309332,51.4069201
1,"B","2009-01-01 12:00:01.600",-2.66309358,51.40692057
1,"B","2009-01-01 12:00:01.620",-2.66309384,51.40692096
1,"B","2009-01-01 12:00:01.640",-2.66309401,51.40692129
1,"B","2009-01-01 12:00:01.660",-2.66309417,51.40692161
1,"B","2009-01-01 12:00:01.680",-2.66309441,51.40692196
1,"B","2009-01-01 12:00:01.700",-2.66309462,51.40692235
1,"B","2009-01-01 12:00:01.720",-2.66309461,51.4069227
1,"B","2009-01-01 12:00:01.740",-2.66309455,51.40692302
1,"B","2009-01-01 12:00:01.760",-2.66309458,51.40692335
1,"B","2009-01-01 12:00:01.780",-2.66309466,51.40692373
1,"B","2009-01-01 12:00:01.800",-2.6630948,51.40692414
1,"B","2009-01-01 12:00:01.820",-2.66309496,51.40692448
1,"B","2009-01-01 12:00:01.840",-2.66309522,51.40692482
1,"B","2009-01-01 12:00:01.860",-2.6630955,51.40692518
1,"B","2009-01-01 12:00:01.880",-2.66309558,51.40692556
1,"B","2009-01-01 12:00:01.900",-2.66309549,51.40692593
1,"B","2009-01-01 12:00:01.920",-2.66309512,51.40692625
1,"B","2009-01-01 12:00:01.940",-2.6630948,51.40692654
1,"B","2009-01-01 12:00:01.960",-2.66309446,51.40692673
1,"B","2009-01-01 12:00:01.980",-2.66309397,51.40692692
1,"B","2009-01-01 12:00:02.000",-2.66309343,51.40692713
1,"B","2009-01-01 12:00:02.020",-2.66309276,51.40692735
1,"B","2009-01-01 12:00:02.040",-2.66309214,51.4069276
1,"B","2009-01-01 12:00:02.060",-2.66309165,51.4069279
1,"B","2009-01-01 12:00:02.080",-2.66309123,51.40692823
1,"B","2009-01-01 12:00:02.100",-2.66309094,51.4069285
1,"B","2009-01-01 12:00:02.120",-2.66309038,51.40692868
1,"B","2009-01-01 12:00:02.140",-2.66308959,51.40692884
1,"B","2009-01-01 12:00:02.160",-2.66308891,51.40692902
1,"B","2009-01-01 12:00:02.180",-2.6630884,51.40692926
1,"B","2009-01-01 12:00:02.200",-2.66308822,51.40692952
1,"B","2009-01-01 12:00:02.220",-2.66308827,51.40692979
1,"B","2009-01-01 12:00:02.240",-2.6630883,51.40693005
1,"B","2009-01-01 12:00:02.260",-2.66308804,51.40693031
1,"B","2009-01-01 12:00:02.280",-2.66308737,51.40693053
1,"B","2009-01-01 12:00:02.300",-2.66308661,51.40693071
1,"B","2009-01-01 12:00:02.320",-2.66308606,51.40693086
1,"B","2009-01-01 12:00:02.340",-2.66308585,51.40693105
1,"B","2009-01-01 12:00:02.360",-2.66308584,51.40693128
1,"B","2009-01-01 12:00:02.380",-2.66308575,51.40693154
1,"B","2009-01-01 12:00:02.400",-2.66308547,51.40693176
1,"B","2009-01-01 12:00:02.420",-2.66308516,51.40693195
1,"B","2009-01-01 12:00:02.440",-2.66308487,51.40693214
1,"B","2009-01-01 12:00:02.460",-2.66308477,51.40693241
1,"B","2009-01-01 12:00:02.480",-2.66308464,51.40693269
1,"B","2009-01-01 12:00:02.500",-2.66308414,51.40693289
1,"B","2009-01-01 12:00:02.520",-2.66308323,51.40693305
1,"B","2009-01-01 12:00:02.540",-2.6630825,51.40693322
1,"B","2009-01-01 12:00:02.560",-2.66308175,51.40693337
1,"B","2009-01-01 12:00:02.580",-2.66308076,51.40693343
1,"B","2009-01-01 12:00:02.600",-2.66307995,51.40693351
1,"B","2009-01-01 12:00:02.620",-2.66307917,51.40693362
1,"B","2009-01-01 12:00:02.640",-2.66307818,51.40693375
1,"B","2009-01-01 12:00:02.660",-2.66307688,51.40693384
1,"B","2009-01-01 12:00:02.680",-2.66307563,51.40693391
1,"B","2009-01-01 12:00:02.700",-2.66307496,51.40693401
1,"B","2009-01-01 12:00:02.720",-2.6630746,51.4069341
1,"B","2009-01-01 12:00:02.740",-2.66307365,51.40693413
1,"B","2009-01-01 12:00:02.760",-2.66307239,51.40693416
1,"B","2009-01-01 12:00:02.780",-2.66307109,51.40693424
1,"B","2009-01-01 12:00:02.800",-2.66307,51.40693433
1,"B","2009-01-01 12:00:02.820",-2.66306936,51.4069344
1,"B","2009-01-01 12:00:02.840",-2.66306908,51.40693449
1,"B","2009-01-01 12:00:02.860",-2.66306869,51.40693458
1,"B","2009-01-01 12:00:02.880",-2.66306829,51.40693468
1,"B","2009-01-01 12:00:02.900",-2.66306765,51.40693472
1,"B","2009-01-01 12:00:02.920",-2.66306703,51.40693472
1,"B","2009-01-01 12:00:02.940",-2.66306646,51.40693476
1,"B","2009-01-01 12:00:02.960",-2.66306594,51.40693487
1,"B","2009-01-01 12:00:02.980",-2.66306529,51.40693501
1,"B","2009-01-01 12:00:03.000",-2.66306465,51.40693513
1,"B","2009-01-01 12:00:03.020",-2.663064,51.40693524
1,"B","2009-01-01 12:00:03.040",-2.66306351,51.40693534
1,"B","2009-01-01 12:00:03.060",-2.66306307,51.40693546
1,"B","2009-01-01 12:00:03.080",-2.66306257,51.40693564
1,"B","2009-01-01 12:00:03.100",-2.66306167,51.40693586
1,"B","2009-01-01 12:00:03.120",-2.66306036,51.40693612
1,"B","2009-01-01 12:00:03.140",-2.66305891,51.40693642
1,"B","2009-01-01 12:00:03.160",-2.66305747,51.40693675
3,"A","2009-01-01 12:00:00.000",-2.66307739,51.4070164
3,"A","2009-01-01 12:00:00.020",-2.66307608,51.40701633
3,"A","2009-01-01 12:00:00.040",-2.66307474,51.40701637
3,"A","2009-01-01 12:00:00.060",-2.66307359,51.40701635
3,"A","2009-01-01 12:00:00.080",-2.66307266,51.40701619
3,"A","2009-01-01 12:00:00.100",-2.66307188,51.40701591
3,"A","2009-01-01 12:00:00.120",-2.66307108,51.40701568
3,"A","2009-01-01 12:00:00.140",-2.66307006,51.40701553
3,"A","2009-01-01 12:00:00.160",-2.66306916,51.40701527
3,"A","2009-01-01 12:00:00.180",-2.66306836,51.40701489
3,"A","2009-01-01 12:00:00.200",-2.66306719,51.40701466
3,"A","2009-01-01 12:00:00.220",-2.66306564,51.40701461
3,"A","2009-01-01 12:00:00.240",-2.66306411,51.40701458
3,"A","2009-01-01 12:00:00.260",-2.6630631,51.40701435
3,"A","2009-01-01 12:00:00.280",-2.66306247,51.40701395
3,"A","2009-01-01 12:00:00.300",-2.6630616,51.40701359
3,"A","2009-01-01 12:00:00.320",-2.66306013,51.40701343
3,"A","2009-01-01 12:00:00.340",-2.66305827,51.40701349
3,"A","2009-01-01 12:00:00.360",-2.66305683,51.40701345
3,"A","2009-01-01 12:00:00.380",-2.66305587,51.40701319
3,"A","2009-01-01 12:00:00.400",-2.66305489,51.4070129
3,"A","2009-01-01 12:00:00.420",-2.66305383,51.40701267
3,"A","2009-01-01 12:00:00.440",-2.66305247,51.40701258
3,"A","2009-01-01 12:00:00.460",-2.66305112,51.40701246
3,"A","2009-01-01 12:00:00.480",-2.66305,51.4070122
3,"A","2009-01-01 12:00:00.500",-2.66304915,51.40701182
3,"A","2009-01-01 12:00:00.520",-2.66304815,51.40701146
3,"A","2009-01-01 12:00:00.540",-2.66304704,51.40701119
3,"A","2009-01-01 12:00:00.560",-2.6630459,51.40701099
3,"A","2009-01-01 12:00:00.580",-2.6630448,51.40701076
3,"A","2009-01-01 12:00:00.600",-2.66304385,51.40701041
3,"A","2009-01-01 12:00:00.620",-2.66304309,51.40700997
3,"A","2009-01-01 12:00:00.640",-2.66304245,51.40700961
3,"A","2009-01-01 12:00:00.660",-2.66304167,51.40700927
3,"A","2009-01-01 12:00:00.680",-2.66304084,51.40700892
3,"A","2009-01-01 12:00:00.700",-2.66303985,51.40700862
3,"A","2009-01-01 12:00:00.720",-2.66303881,51.40700839
3,"A","2009-01-01 12:00:00.740",-2.66303788,51.40700817
3,"A","2009-01-01 12:00:00.760",-2.66303685,51.40700794
3,"A","2009-01-01 12:00:00.780",-2.66303527,51.40700782
3,"A","2009-01-01 12:00:00.800",-2.6630334,51.40700784
3,"A","2009-01-01 12:00:00.820",-2.66303176,51.40700785
3,"A","2009-01-01 12:00:00.840",-2.66303072,51.40700778
3,"A","2009-01-01 12:00:00.860",-2.66303018,51.40700771
3,"A","2009-01-01 12:00:00.880",-2.66302952,51.4070077
3,"A","2009-01-01 12:00:00.900",-2.6630284,51.40700773
3,"A","2009-01-01 12:00:00.920",-2.66302714,51.40700781
3,"A","2009-01-01 12:00:00.940",-2.66302574,51.40700801
3,"A","2009-01-01 12:00:00.960",-2.66302448,51.40700824
3,"A","2009-01-01 12:00:00.980",-2.66302315,51.40700853
3,"A","2009-01-01 12:00:01.000",-2.66302183,51.40700882
3,"A","2009-01-01 12:00:01.020",-2.66302056,51.40700905
3,"A","2009-01-01 12:00:01.040",-2.66301987,51.40700921
3,"A","2009-01-01 12:00:01.060",-2.66301926,51.40700945
3,"A","2009-01-01 12:00:01.080",-2.66301858,51.40700972
3,"A","2009-01-01 12:00:01.100",-2.66301778,51.40700997
3,"A","2009-01-01 12:00:01.120",-2.66301694,51.40701026
3,"A","2009-01-01 12:00:01.140",-2.66301601,51.40701067
3,"A","2009-01-01 12:00:01.160",-2.6630152,51.4070111
3,"A","2009-01-01 12:00:01.180",-2.66301463,51.40701145
3,"A","2009-01-01 12:00:01.200",-2.66301436,51.40701169
3,"A","2009-01-01 12:00:01.220",-2.66301401,51.40701196
3,"A","2009-01-01 12:00:01.240",-2.66301389,51.40701219
3,"A","2009-01-01 12:00:01.260",-2.66301398,51.40701247
3,"A","2009-01-01 12:00:01.280",-2.66301401,51.40701285
3,"A","2009-01-01 12:00:01.300",-2.66301443,51.40701314
3,"A","2009-01-01 12:00:01.320",-2.66301488,51.40701335
3,"A","2009-01-01 12:00:01.340",-2.66301499,51.40701357
3,"A","2009-01-01 12:00:01.360",-2.66301518,51.40701377
3,"A","2009-01-01 12:00:01.380",-2.66301525,51.40701403
3,"A","2009-01-01 12:00:01.400",-2.66301523,51.40701434
3,"A","2009-01-01 12:00:01.420",-2.6630154,51.40701463
3,"A","2009-01-01 12:00:01.440",-2.66301591,51.4070148
3,"A","2009-01-01 12:00:01.460",-2.66301662,51.4070149
3,"A","2009-01-01 12:00:01.480",-2.6630177,51.40701492
3,"A","2009-01-01 12:00:01.500",-2.66301888,51.40701491
3,"A","2009-01-01 12:00:01.520",-2.66301937,51.40701506
3,"A","2009-01-01 12:00:01.540",-2.6630199,51.40701518
3,"A","2009-01-01 12:00:01.560",-2.66302081,51.4070152
3,"A","2009-01-01 12:00:01.580",-2.66302135,51.40701532
3,"A","2009-01-01 12:00:01.600",-2.66302153,51.40701552
3,"A","2009-01-01 12:00:01.620",-2.66302177,51.40701565
3,"A","2009-01-01 12:00:01.640",-2.66302235,51.40701566
3,"A","2009-01-01 12:00:01.660",-2.66302308,51.40701563
3,"A","2009-01-01 12:00:01.680",-2.66302405,51.40701555
3,"A","2009-01-01 12:00:01.700",-2.66302505,51.40701548
3,"A","2009-01-01 12:00:01.720",-2.66302599,51.40701539
3,"A","2009-01-01 12:00:01.740",-2.6630271,51.40701519
3,"A","2009-01-01 12:00:01.760",-2.66302823,51.40701499
3,"A","2009-01-01 12:00:01.780",-2.66302953,51.40701477
3,"A","2009-01-01 12:00:01.800",-2.66303057,51.40701462
3,"A","2009-01-01 12:00:01.820",-2.66303112,51.40701456
3,"A","2009-01-01 12:00:01.840",-2.66303152,51.40701449
3,"A","2009-01-01 12:00:01.860",-2.66303195,51.40701447
3,"A","2009-01-01 12:00:01.880",-2.6630323,51.40701451
3,"A","2009-01-01 12:00:01.900",-2.66303283,51.4070144
3,"A","2009-01-01 12:00:01.920",-2.66303389,51.40701404
3,"A","2009-01-01 12:00:01.940",-2.66303517,51.40701359
3,"A","2009-01-01 12:00:01.960",-2.66303622,51.4070132
3,"A","2009-01-01 12:00:01.980",-2.6630368,51.40701298
3,"A","2009-01-01 12:00:02.000",-2.66303719,51.40701287
3,"A","2009-01-01 12:00:02.020",-2.6630377,51.40701275
3,"A","2009-01-01 12:00:02.040",-2.66303816,51.40701261
3,"A","2009-01-01 12:00:02.060",-2.66303877,51.40701241
